Date,Price,Open,High,Low,Change %
Jan-18,48,48,49,48,0.06%
Dec-17,48,48,49,48,0.89%
Nov-17,48,48,48,48,-0.19%
Oct-17,48,Feb-00,49,47,1.09%
Sep-17,47,Feb-00,48,47,1.38%
Aug-17,47,Feb-00,48,47,0.05%
Jul-17,47,47,48,47,-1.48%
Jun-17,48,Feb-00,48,47,0.76%
May-17,47,Feb-00,48,47,-0.63
Apr-17,47,Feb-00,47,44,0.27%
Mar-17,47,47,47,47,0.20%
Feb-17,47,Feb-00,47,46,1.76
Jan-17,46,Feb-00,47,5,0.11%
Dec-16,46,47,47,46,-0.59%
Nov-16,47,46,47,46,1.03
Oct-16,46,Feb-00,47,46,0.11%
Sep-16,46,Feb-00,46,46,-0.11%
Aug-16,46,Feb-00,46,45,0.44%
Jul-16,46,46,46,45,0.02%
Jun-16,46,Feb-00,46,45,0.09%
May-16,46,Feb-00,46,45,0.11%
Apr-16,46,Feb-00,46,45,0.17%
Mar-16,46,45,46,45,0.16%
